table,dataset,system,metric,mean,std,variance,seed,n_queries,missing_reason
Table 1,hotpotqa,Dense RAG,ret,1.0,,,deterministic,400,
Table 1,hotpotqa,Dense RAG,sel,1.0,,,deterministic,400,
Table 1,hotpotqa,Dense RAG,ans,0.2677070925067632,,,deterministic,400,
Table 1,hotpotqa,Dense RAG,cit,0.4624642857142856,,,deterministic,400,
Table 1,hotpotqa,Dense RAG,rar,0.03,,,deterministic,400,
Table 1,hotpotqa,Hybrid RAG,ret,1.0,,,deterministic,400,
Table 1,hotpotqa,Hybrid RAG,sel,1.0,,,deterministic,400,
Table 1,hotpotqa,Hybrid RAG,ans,0.2600686957335708,,,deterministic,400,
Table 1,hotpotqa,Hybrid RAG,cit,0.452063492063492,,,deterministic,400,
Table 1,hotpotqa,Hybrid RAG,rar,0.035,,,deterministic,400,
Table 1,hotpotqa,Granite Rerank RAG,ret,1.0,,,deterministic,400,
Table 1,hotpotqa,Granite Rerank RAG,sel,1.0,,,deterministic,400,
Table 1,hotpotqa,Granite Rerank RAG,ans,0.2711623442664022,,,deterministic,400,
Table 1,hotpotqa,Granite Rerank RAG,cit,0.4694597069597068,,,deterministic,400,
Table 1,hotpotqa,Granite Rerank RAG,rar,0.04,,,deterministic,400,
Table 1,hotpotqa,Provence RAG,ret,1.0,,,deterministic,400,
Table 1,hotpotqa,Provence RAG,sel,0.6168333333333331,,,deterministic,400,
Table 1,hotpotqa,Provence RAG,ans,0.24759645059219892,,,deterministic,400,
Table 1,hotpotqa,Provence RAG,cit,0.4761666666666666,,,deterministic,400,
Table 1,hotpotqa,Provence RAG,rar,0.0225,,,deterministic,400,
Table 1,hotpotqa,Ours,ret,1.0,,,fixed_upstream,400,
Table 1,hotpotqa,Ours,sel,0.99875,,,fixed_upstream,400,
Table 1,hotpotqa,Ours,ans,0.13864985598117993,0.003587251505809362,1.2868373365931535e-05,13|42|73,400,
Table 1,hotpotqa,Ours,cit,0.6570337301587301,0.046105667545731296,0.0021257325798375,13|42|73,400,
Table 1,hotpotqa,Ours,rar,0.0025,0.0,0.0,13|42|73,400,
Table 2,hotpotqa,Full,ret,1.0,,,13,400,
Table 2,hotpotqa,Full,sel,0.99875,,,13,400,
Table 2,hotpotqa,Full,ans,0.1345077033170641,,,13,400,
Table 2,hotpotqa,Full,cit,0.6317499999999999,,,13,400,
Table 2,hotpotqa,Full,rar,0.0025,,,13,400,
Table 2,hotpotqa,w/ Dense Retriever,ret,1.0,,,13,400,
Table 2,hotpotqa,w/ Dense Retriever,sel,0.99875,,,13,400,
Table 2,hotpotqa,w/ Dense Retriever,ans,0.13917140988861088,,,13,400,
Table 2,hotpotqa,w/ Dense Retriever,cit,0.6646666666666665,,,13,400,
