qid,q2d,global_corroborate,gated_corroborate
0,1.0,1.0,1.0
1,1.0,1.0,1.0
10,0.1,0.058823529411764705,0.058823529411764705
100,1.0,1.0,1.0
1000,0.06666666666666667,0.125,0.125
1001,0.25,0.16666666666666666,0.25
1002,0.14285714285714285,0.14285714285714285,0.14285714285714285
1003,0.14285714285714285,0.16666666666666666,0.16666666666666666
1004,0.0,0.0,0.0
1005,0.0,0.0,0.0
1006,0.0,0.0,0.0
1007,0.0,0.0,0.0
1008,0.1,0.08333333333333333,0.08333333333333333
1009,0.0,0.0,0.0
101,0.0,0.0,0.0
1010,0.0,0.0,0.0
1011,1.0,1.0,1.0
1012,0.0625,0.07142857142857142,0.07142857142857142
1013,0.2,0.1,0.2
1014,1.0,1.0,1.0
1015,0.0,0.0,0.0
1016,0.0,0.0,0.0
1017,0.05263157894736842,0.09090909090909091,0.14285714285714285
1018,0.3333333333333333,0.5,0.5
1019,0.2,0.25,0.25
102,0.5,1.0,1.0
1020,0.14285714285714285,0.1,0.1
1021,0.05,0.2,0.2
1022,0.0,0.0,0.0
1023,0.5,0.5,0.5
1024,0.14285714285714285,0.16666666666666666,0.16666666666666666
1025,1.0,1.0,1.0
1026,0.09090909090909091,0.1111111111111111,0.1111111111111111
1027,0.0,0.0,0.0
1028,0.3333333333333333,0.25,0.25
1029,0.0,0.0,0.0
103,0.16666666666666666,0.06666666666666667,0.06666666666666667
1030,0.08333333333333333,0.08333333333333333,0.08333333333333333
1031,0.2,0.25,0.25
1032,0.16666666666666666,0.1111111111111111,0.1111111111111111
1033,0.0,0.0,0.0
1034,0.0,0.0,0.0
1035,0.5,0.25,0.25
1036,0.25,0.5,0.5
1037,0.5,0.0625,0.5
1038,0.0,0.0,0.0
1039,0.25,0.25,0.25
104,0.0625,0.1111111111111111,0.1111111111111111
1040,0.25,0.25,0.25
1041,0.0,0.0,0.0
1042,0.0,0.0,0.0
1043,0.0,0.0,0.0
1044,0.3333333333333333,0.5,0.3333333333333333
1045,0.5,0.5,0.5
1046,0.2,0.09090909090909091,0.09090909090909091
1047,0.07142857142857142,0.14285714285714285,0.2
1048,0.0,0.0,0.0
1049,0.0,0.0,0.0
105,0.08333333333333333,0.07142857142857142,0.07142857142857142
1050,0.0,0.0,0.0
1051,1.0,1.0,1.0
1052,1.0,1.0,1.0
1053,0.5,0.5,0.5
1054,0.16666666666666666,0.16666666666666666,0.16666666666666666
1055,0.0,0.0,0.0
1056,0.125,0.5,0.125
1057,0.5,0.25,0.25
1058,0.14285714285714285,0.5,0.5
1059,0.0,0.0,0.0
106,0.0,0.0,0.0
1060,0.0,0.0,0.0
1061,0.0,0.0,0.0
1062,0.1,0.16666666666666666,0.16666666666666666
1063,0.0,0.0,0.0
1064,0.25,0.3333333333333333,0.3333333333333333
1065,0.0,0.0,0.0
1066,0.3333333333333333,0.5,0.5
1067,1.0,0.25,0.2
1068,0.25,0.1,0.1
1069,0.0,0.0,0.0
107,0.0,0.0,0.0
1070,0.08333333333333333,0.07142857142857142,0.07142857142857142
1071,0.0,0.0,0.0
1072,0.3333333333333333,0.3333333333333333,0.3333333333333333
1073,0.0,0.0,0.0
1074,0.06666666666666667,0.058823529411764705,0.058823529411764705
1075,0.0,0.0,0.0
1076,1.0,1.0,1.0
1077,0.16666666666666666,0.2,0.2
1078,0.0,0.0,0.0
1079,0.0,0.0,0.0
108,0.0,0.0,0.0
1080,0.5,0.5,0.5
1081,0.0,0.0,0.0
1082,1.0,0.5,0.5
1083,0.3333333333333333,1.0,1.0
1084,0.25,0.3333333333333333,0.3333333333333333
1085,0.3333333333333333,0.3333333333333333,0.3333333333333333
1086,0.07142857142857142,0.1,0.125
1087,0.14285714285714285,0.5,0.5
1088,0.0,0.0,0.0
1089,0.0,0.0,0.0
109,1.0,1.0,1.0
1090,0.5,0.5,0.5
1091,0.14285714285714285,0.14285714285714285,0.14285714285714285
1092,0.0,0.0,0.0
1093,0.2,0.2,0.2
1094,0.5,0.5,0.5
1095,1.0,1.0,1.0
1096,0.0,0.0,0.0
1097,1.0,1.0,1.0
1098,0.3333333333333333,0.3333333333333333,0.3333333333333333
1099,0.5,0.5,0.5
11,0.3333333333333333,0.2,0.2
110,0.0,0.0,0.0
1100,0.0,0.0,0.0
1101,1.0,0.5,0.5
1102,0.06666666666666667,0.14285714285714285,0.14285714285714285
1103,1.0,1.0,1.0
1104,1.0,1.0,1.0
1105,1.0,1.0,1.0
1106,0.125,0.125,0.125
1107,0.07142857142857142,0.05555555555555555,0.05555555555555555
1108,0.3333333333333333,1.0,0.3333333333333333
1109,0.0,0.0,0.0
111,0.16666666666666666,0.5,0.5
1110,0.1111111111111111,0.16666666666666666,0.16666666666666666
1111,0.07692307692307693,0.058823529411764705,0.058823529411764705
1112,0.5,0.5,0.5
1113,0.25,0.25,0.25
1114,0.2,0.25,0.25
1115,1.0,1.0,1.0
