alpha,ndcg@10
0.0,0.21668445500943226
0.05,0.22868837610677137
0.1,0.24243835497144228
0.15,0.25658251248251085
0.2,0.27146078819485236
0.25,0.28481547360847065
0.3,0.30312978063455176
0.35,0.3236471686393319
0.4,0.3505143765927664
0.45,0.3783478174252972
0.5,0.4068300093531412
0.55,0.4307848158961225
0.6,0.4449774176675284
0.65,0.4519527428289132
0.7,0.4575764917657508
0.75,0.4631071110934402
0.8,0.4660817490966761
0.85,0.46801555227376845
0.9,0.46654763165122104
0.95,0.46327314626565713
1.0,0.45858053097909435
