alpha,ndcg@10
0.0,0.6359912686911698
0.05,0.6432508153464421
0.1,0.6590686701843466
0.15,0.6742593396729721
0.2,0.6820175690956028
0.25,0.6910759604294427
0.3,0.6985299723041313
0.35,0.7133424161054042
0.4,0.7237539044226348
0.45,0.7314539953830549
0.5,0.7411533137651982
0.55,0.7464644800380281
0.6,0.7530888306107069
0.65,0.7593505909457091
0.7,0.76545946937901
0.75,0.7665636636324383
0.8,0.7674423253953252
0.85,0.770649156670757
0.9,0.770179034837553
0.95,0.7677299212120675
1.0,0.7665175315928656
