qid,q2d,q2d_corroborate
0,1.0,1.0
1,1.0,1.0
10,0.0,0.0
100,1.0,1.0
1000,0.0,0.0
1001,1.0,1.0
1002,0.0,0.0
1003,1.0,1.0
1004,0.0,0.0
1005,0.0,0.0
1006,0.0,0.0
1007,0.0,0.0
1008,0.0,1.0
1009,0.0,0.0
101,0.0,0.0
1010,0.0,0.0
1011,1.0,1.0
1012,0.0,0.0
1013,1.0,1.0
1014,1.0,1.0
1015,0.0,0.0
1016,0.0,0.0
1017,1.0,1.0
1018,1.0,1.0
1019,1.0,1.0
102,1.0,1.0
1020,1.0,1.0
1021,0.0,0.0
1022,0.0,0.0
1023,1.0,1.0
1024,1.0,1.0
1025,1.0,1.0
1026,1.0,1.0
1027,0.0,0.0
1028,1.0,1.0
1029,0.0,0.0
103,1.0,1.0
1030,1.0,0.0
1031,1.0,1.0
1032,1.0,1.0
1033,0.0,0.0
1034,1.0,1.0
1035,1.0,1.0
1036,1.0,1.0
1037,1.0,1.0
1038,0.0,0.0
1039,1.0,1.0
104,0.0,1.0
1040,1.0,1.0
1041,0.0,0.0
1042,0.0,0.0
1043,0.0,0.0
1044,1.0,1.0
1045,1.0,1.0
1046,0.0,0.0
1047,0.0,1.0
1048,0.0,0.0
1049,0.0,0.0
105,1.0,1.0
1050,0.0,1.0
1051,1.0,1.0
1052,1.0,1.0
1053,1.0,1.0
1054,1.0,1.0
1055,0.0,0.0
1056,1.0,1.0
1057,1.0,1.0
1058,1.0,1.0
1059,0.0,0.0
106,0.0,0.0
1060,0.0,0.0
1061,0.0,0.0
1062,1.0,0.0
1063,0.0,0.0
1064,1.0,1.0
1065,0.0,0.0
1066,1.0,1.0
1067,1.0,1.0
1068,1.0,1.0
1069,0.0,0.0
107,0.0,0.0
1070,0.0,0.0
1071,0.0,0.0
1072,1.0,1.0
1073,0.0,0.0
1074,1.0,1.0
1075,0.0,0.0
1076,1.0,1.0
1077,1.0,1.0
1078,0.0,0.0
1079,0.0,0.0
108,0.0,0.0
1080,1.0,1.0
1081,0.0,0.0
1082,1.0,1.0
1083,1.0,1.0
1084,1.0,1.0
1085,0.0,0.0
1086,0.0,0.0
1087,1.0,1.0
1088,0.0,0.0
1089,0.0,0.0
109,1.0,1.0
1090,1.0,1.0
1091,1.0,1.0
1092,0.0,0.0
1093,0.0,1.0
1094,1.0,1.0
1095,1.0,1.0
1096,0.0,0.0
1097,1.0,1.0
1098,1.0,1.0
1099,1.0,1.0
11,1.0,1.0
110,0.0,0.0
1100,0.0,0.0
1101,1.0,1.0
1102,0.0,1.0
1103,1.0,1.0
1104,1.0,1.0
1105,1.0,1.0
1106,0.0,1.0
1107,0.0,0.0
1108,1.0,1.0
1109,0.0,0.0
111,0.0,1.0
1110,1.0,1.0
1111,0.0,0.0
1112,1.0,1.0
1113,1.0,1.0
1114,1.0,1.0
1115,1.0,1.0
1116,1.0,1.0
1117,0.0,0.0
1118,1.0,1.0
1119,1.0,1.0
112,1.0,1.0
1120,0.0,0.0
1121,1.0,1.0
1122,1.0,1.0
1123,0.0,0.0
1124,1.0,1.0
1125,1.0,1.0
1126,0.0,0.0
1127,0.0,0.0
1128,1.0,1.0
1129,1.0,1.0
113,0.0,0.0
1130,1.0,1.0
1131,0.0,0.0
1132,1.0,1.0
1133,0.0,0.0
1134,0.0,1.0
1135,1.0,1.0
1136,0.0,0.0
1137,0.0,0.0
1138,1.0,1.0
1139,1.0,1.0
114,0.0,0.0
1140,1.0,1.0
1141,1.0,1.0
1142,1.0,1.0
1143,1.0,1.0
1144,1.0,1.0
1145,1.0,1.0
1146,0.0,0.0
1147,1.0,1.0
1148,1.0,1.0
1149,1.0,1.0
115,0.0,0.0
1150,1.0,1.0
1151,0.0,0.0
1152,0.0,0.0
1153,1.0,1.0
1154,1.0,1.0
1155,0.0,0.0
1156,1.0,1.0
1157,0.0,0.0
1158,1.0,1.0
1159,0.0,0.0
116,0.0,0.0
1160,0.0,0.0
1161,1.0,1.0
1162,1.0,1.0
1163,1.0,1.0
1164,1.0,1.0
1165,1.0,1.0
1166,1.0,1.0
1167,0.0,0.0
1168,1.0,1.0
1169,1.0,1.0
117,1.0,1.0
1170,1.0,1.0
1171,0.0,0.0
1172,0.0,0.0
1173,1.0,1.0
1174,1.0,1.0
1175,1.0,1.0
1176,1.0,1.0
1177,1.0,1.0
1178,1.0,1.0
1179,0.0,0.0
118,1.0,1.0
1180,1.0,1.0
1181,0.0,0.0
1182,1.0,1.0
1183,0.0,0.0
1184,0.0,1.0
1185,0.0,0.0
