dataset,system,rfc,vrfc,ucr,cp,cr,rr
kilt-nq,BM25 RAG,0.475,0.2625,0.3091334894613583,0.4056432005494506,0.4445416666666666,0.9425
kilt-nq,Hybrid RAG,0.6075,0.375,0.17339667458432304,0.4959583333333334,0.5502380952380952,0.965
kilt-nq,Granite Rerank RAG,0.64,0.4125,0.18018018018018017,0.4929568556443557,0.572576388888889,0.9675
kilt-nq,Provence RAG,0.605,0.4,0.19911504424778761,0.5030069444444443,0.5726666666666667,0.955
kilt-nq,Ours,0.5108333333333333,0.38,0.18796702135817153,0.6,0.6109722222222222,0.9216666666666666
kilt-tqa,BM25 RAG,0.81,0.435,0.2127659574468085,0.42133333333333334,0.47125,0.9275
kilt-tqa,Hybrid RAG,0.84,0.4925,0.2051948051948052,0.4707083333333334,0.5283333333333333,0.95
kilt-tqa,Granite Rerank RAG,0.885,0.5475,0.1636828644501279,0.4791319444444444,0.5775,0.96
kilt-tqa,Provence RAG,0.8225,0.4575,0.2682291666666667,0.4184444444444445,0.49458333333333326,0.935
kilt-tqa,Ours,0.7858333333333334,0.5466666666666666,0.18408373268714356,0.5410416666666666,0.5755555555555555,0.8841666666666667
alce-asqa,BM25 RAG,0.24612500000000004,0.149125,0.2711864406779661,0.3832680375180375,0.43544318181818187,0.9
alce-asqa,Hybrid RAG,0.2999583333333333,0.16604166666666664,0.20689655172413793,0.42900793650793667,0.4933749999999999,0.9425
alce-asqa,Granite Rerank RAG,0.33325000000000005,0.21420833333333322,0.1581196581196581,0.47748115079365067,0.5742083333333333,0.97
alce-asqa,Provence RAG,0.28670833333333334,0.1822083333333333,0.2571428571428571,0.46310073260073253,0.5456458333333334,0.9175
alce-asqa,Ours,0.23202777777777778,0.18276388888888892,0.2104198675480022,0.5720833333333334,0.5845833333333333,0.9025
