dataset,configuration,rfc,vrfc,ucr,cp,cr,rr
kilt-nq,Full,0.5075,0.3775,0.1931216931216931,0.6095833333333334,0.62,0.9325
kilt-nq,w/ BM25 Retriever,0.3825,0.2425,0.3216216216216216,0.46,0.46625,0.915
kilt-nq,w/o Selector / Keep-all Top10,0.5025,0.37,0.1925133689839572,0.5995833333333334,0.61,0.9225
kilt-nq,w/ Direct Generator,0.605,0.3775,0.1774193548387097,0.4925,0.5519642857142857,0.97
kilt-tqa,Full,0.8075,0.5525,0.20107238605898123,0.5483333333333333,0.57875,0.905
kilt-tqa,w/ BM25 Retriever,0.7475,0.5225,0.22465753424657534,0.5229166666666667,0.5558333333333334,0.8825
kilt-tqa,w/o Selector / Keep-all Top10,0.8075,0.5525,0.20107238605898123,0.5483333333333333,0.57875,0.905
kilt-tqa,w/ Direct Generator,0.84,0.49,0.2051948051948052,0.47029166666666666,0.5233333333333333,0.95
alce-asqa,Full,0.22599999999999995,0.179875,0.21951219512195122,0.5683333333333334,0.58,0.9175
alce-asqa,w/ BM25 Retriever,0.20254166666666662,0.1497916666666667,0.30446927374301674,0.4775,0.48375,0.8925
alce-asqa,w/o Selector / Keep-all Top10,0.2274583333333333,0.17933333333333337,0.209366391184573,0.5620833333333334,0.575,0.9025
alce-asqa,w/ Direct Generator,0.29754166666666665,0.15904166666666664,0.2088167053364269,0.4166815476190477,0.4821249999999999,0.9475
