unit_type,arm,error_type,error_rows,all_rows_in_arm_unit,error_row_rate,rows_with_any_error,any_error_rate,taxonomy_note
a1_sentence,new,citation_only,6,60,0.1,15,0.25,multi-label; one row may contribute to several types
a1_sentence,new,meta_nonclaim,7,60,0.11666666666666667,15,0.25,multi-label; one row may contribute to several types
a1_sentence,new,multi_fact,2,60,0.03333333333333333,15,0.25,multi-label; one row may contribute to several types
a1_sentence,old,citation_only,23,103,0.22330097087378642,58,0.5631067961165048,multi-label; one row may contribute to several types
a1_sentence,old,meta_nonclaim,15,103,0.14563106796116504,58,0.5631067961165048,multi-label; one row may contribute to several types
a1_sentence,old,multi_fact,9,103,0.08737864077669903,58,0.5631067961165048,multi-label; one row may contribute to several types
a1_sentence,old,unresolved_reference,15,103,0.14563106796116504,58,0.5631067961165048,multi-label; one row may contribute to several types
a1_sentence,old,vague_unverifiable,2,103,0.019417475728155338,58,0.5631067961165048,multi-label; one row may contribute to several types
a2_case,new_new,fact_omission,6,50,0.12,6,0.12,multi-label; one row may contribute to several types
a2_case,new_old,fact_omission,7,50,0.14,7,0.14,multi-label; one row may contribute to several types
a2_case,old_new,fact_omission,9,50,0.18,9,0.18,multi-label; one row may contribute to several types
a2_case,old_old,fact_omission,12,50,0.24,12,0.24,multi-label; one row may contribute to several types
a2_claim,new_new,meaning_changed,16,64,0.25,18,0.28125,multi-label; one row may contribute to several types
a2_claim,new_new,meta_nonclaim,2,64,0.03125,18,0.28125,multi-label; one row may contribute to several types
a2_claim,new_new,span_misaligned,15,64,0.234375,18,0.28125,multi-label; one row may contribute to several types
a2_claim,new_new,unresolved_reference,2,64,0.03125,18,0.28125,multi-label; one row may contribute to several types
a2_claim,new_old,meaning_changed,15,61,0.2459016393442623,17,0.2786885245901639,multi-label; one row may contribute to several types
a2_claim,new_old,meta_nonclaim,2,61,0.03278688524590164,17,0.2786885245901639,multi-label; one row may contribute to several types
a2_claim,new_old,span_misaligned,15,61,0.2459016393442623,17,0.2786885245901639,multi-label; one row may contribute to several types
a2_claim,new_old,unresolved_reference,3,61,0.04918032786885246,17,0.2786885245901639,multi-label; one row may contribute to several types
a2_claim,old_new,meaning_changed,22,77,0.2857142857142857,30,0.38961038961038963,multi-label; one row may contribute to several types
a2_claim,old_new,meta_nonclaim,1,77,0.012987012987012988,30,0.38961038961038963,multi-label; one row may contribute to several types
a2_claim,old_new,multi_fact,3,77,0.03896103896103896,30,0.38961038961038963,multi-label; one row may contribute to several types
a2_claim,old_new,span_misaligned,21,77,0.2727272727272727,30,0.38961038961038963,multi-label; one row may contribute to several types
a2_claim,old_new,unresolved_reference,10,77,0.12987012987012986,30,0.38961038961038963,multi-label; one row may contribute to several types
a2_claim,old_old,meaning_changed,24,74,0.32432432432432434,32,0.43243243243243246,multi-label; one row may contribute to several types
a2_claim,old_old,meta_nonclaim,1,74,0.013513513513513514,32,0.43243243243243246,multi-label; one row may contribute to several types
a2_claim,old_old,multi_fact,2,74,0.02702702702702703,32,0.43243243243243246,multi-label; one row may contribute to several types
a2_claim,old_old,span_misaligned,22,74,0.2972972972972973,32,0.43243243243243246,multi-label; one row may contribute to several types
a2_claim,old_old,unresolved_reference,9,74,0.12162162162162163,32,0.43243243243243246,multi-label; one row may contribute to several types
