stage,arm,metric,positive,total,na,rate
a1,old,atomic,56,65,38,0.8615384615384616
a1,old,self_contained,50,103,0,0.4854368932038835
a1,old,verifiable,63,103,0,0.6116504854368932
a1,old,unresolved_pronoun,14,103,0,0.13592233009708737
a1,new,atomic,45,47,13,0.9574468085106383
a1,new,self_contained,47,60,0,0.7833333333333333
a1,new,verifiable,47,60,0,0.7833333333333333
a1,new,unresolved_pronoun,0,59,1,0
a2_claim,old_old,atomic,71,73,1,0.9726027397260274
a2_claim,old_old,self_contained,65,74,0,0.8783783783783784
a2_claim,old_old,span_aligned,52,74,0,0.7027027027027027
a2_claim,old_old,rewrite_faithful,50,74,0,0.6756756756756757
a2_case,old_old,fact_coverage_complete,33,45,5,0.7333333333333333
a2_claim,old_new,atomic,73,76,1,0.9605263157894737
a2_claim,old_new,self_contained,67,77,0,0.8701298701298701
a2_claim,old_new,span_aligned,56,77,0,0.7272727272727273
a2_claim,old_new,rewrite_faithful,55,77,0,0.7142857142857143
a2_case,old_new,fact_coverage_complete,36,45,5,0.8
a2_claim,new_old,atomic,59,59,2,1
a2_claim,new_old,self_contained,58,61,0,0.9508196721311475
a2_claim,new_old,span_aligned,46,61,0,0.7540983606557377
a2_claim,new_old,rewrite_faithful,46,61,0,0.7540983606557377
a2_case,new_old,fact_coverage_complete,41,48,2,0.8541666666666666
a2_claim,new_new,atomic,62,62,2,1
a2_claim,new_new,self_contained,62,64,0,0.96875
a2_claim,new_new,span_aligned,49,64,0,0.765625
a2_claim,new_new,rewrite_faithful,48,64,0,0.75
a2_case,new_new,fact_coverage_complete,42,48,2,0.875
