qid,q2d,global_corroborate,gated_corroborate
0,1.0,1.0,1.0
1,1.0,1.0,1.0
10,0.0,0.0,0.0
100,1.0,1.0,1.0
1000,0.0625,0.0625,0.0625
1001,0.25,0.5,0.5
1002,0.06666666666666667,0.06666666666666667,0.06666666666666667
1003,0.125,0.14285714285714285,0.07142857142857142
1004,0.0,0.0,0.0
1005,0.0,0.0,0.0
1006,0.0,0.0,0.0
1007,0.0,0.0,0.0
1008,0.08333333333333333,0.14285714285714285,0.14285714285714285
1009,0.0,0.0,0.0
101,0.0,0.0,0.0
1010,0.0,0.0,0.0
1011,0.5,1.0,1.0
1012,0.0625,0.07142857142857142,0.07142857142857142
1013,0.16666666666666666,0.125,0.125
1014,1.0,1.0,1.0
1015,0.0,0.0,0.0
1016,0.0,0.0,0.0
1017,0.14285714285714285,0.1,0.14285714285714285
1018,0.5,1.0,0.5
1019,0.5,0.16666666666666666,0.16666666666666666
102,1.0,1.0,1.0
1020,0.14285714285714285,0.14285714285714285,0.14285714285714285
1021,0.0,0.0,0.0
1022,0.0,0.0,0.0
1023,0.5,0.5,0.5
1024,0.14285714285714285,0.25,0.25
1025,1.0,1.0,1.0
1026,0.25,0.25,0.058823529411764705
1027,0.0,0.0,0.0
1028,0.25,0.25,0.25
1029,0.0,0.0,0.0
103,0.2,0.16666666666666666,0.1111111111111111
1030,0.1,0.07692307692307693,0.1
1031,0.25,0.5,0.5
1032,0.2,0.09090909090909091,0.09090909090909091
1033,0.0,0.0,0.0
1034,0.5,0.5,0.5
1035,0.5,0.25,0.25
1036,0.3333333333333333,0.14285714285714285,0.14285714285714285
1037,1.0,0.5,0.5
1038,0.0,0.0,0.0
1039,0.25,0.14285714285714285,0.14285714285714285
104,0.05263157894736842,0.14285714285714285,0.05263157894736842
1040,0.5,0.5,0.5
1041,0.0,0.0,0.0
1042,0.0,0.0,0.0
1043,0.05,0.05,0.05
1044,0.25,0.3333333333333333,0.25
1045,1.0,1.0,1.0
1046,0.0,0.0,0.0
1047,0.07692307692307693,0.16666666666666666,0.07692307692307693
1048,0.0,0.0,0.0
1049,0.0,0.0,0.0
105,0.3333333333333333,0.14285714285714285,0.14285714285714285
1050,0.07692307692307693,0.16666666666666666,0.16666666666666666
1051,1.0,1.0,1.0
1052,0.5,0.5,0.5
1053,0.5,0.5,0.5
1054,0.3333333333333333,0.3333333333333333,0.3333333333333333
1055,0.0,0.0,0.0
1056,0.1111111111111111,0.25,0.25
1057,1.0,0.3333333333333333,1.0
1058,1.0,1.0,1.0
1059,0.0,0.0,0.0
106,0.0625,0.05,0.05
1060,0.0,0.0,0.0
1061,0.0,0.0,0.0
1062,0.125,0.09090909090909091,0.09090909090909091
1063,0.0,0.0,0.0
1064,0.16666666666666666,0.2,0.2
1065,0.0,0.0,0.0
1066,0.3333333333333333,0.5,0.5
1067,1.0,0.5,1.0
1068,0.3333333333333333,0.25,0.25
1069,0.0,0.0,0.0
107,0.0,0.0,0.0
1070,0.09090909090909091,0.07692307692307693,0.09090909090909091
1071,0.0,0.0,0.0
1072,0.5,0.25,0.25
1073,0.0,0.0,0.0
1074,0.1111111111111111,0.2,0.2
1075,0.0625,0.058823529411764705,0.058823529411764705
1076,0.5,0.5,0.5
1077,0.16666666666666666,0.2,0.2
1078,0.0,0.0,0.0
1079,0.0,0.0,0.0
108,0.05,0.05,0.05
1080,0.5,0.5,0.5
1081,0.0,0.0,0.0
1082,1.0,1.0,1.0
1083,0.25,0.3333333333333333,0.3333333333333333
1084,0.5,1.0,1.0
1085,0.0,0.0,0.0
1086,0.07692307692307693,0.09090909090909091,0.09090909090909091
1087,0.16666666666666666,0.2,0.2
1088,0.0,0.0,0.0
1089,0.05,0.05,0.05
109,1.0,1.0,1.0
1090,0.3333333333333333,0.5,0.5
1091,0.14285714285714285,0.16666666666666666,1.0
1092,0.0,0.0,0.0
1093,0.08333333333333333,0.1111111111111111,0.1111111111111111
1094,0.3333333333333333,0.3333333333333333,0.3333333333333333
1095,0.5,0.5,0.5
1096,0.0,0.0,0.0
1097,1.0,1.0,1.0
1098,0.5,0.5,0.5
1099,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,0.3333333333333333,0.3333333333333333,0.3333333333333333
110,0.0,0.0,0.0
1100,0.0,0.0,0.0
1101,1.0,1.0,1.0
1102,0.07142857142857142,0.16666666666666666,0.16666666666666666
1103,1.0,1.0,1.0
1104,1.0,1.0,1.0
1105,1.0,1.0,1.0
1106,0.08333333333333333,0.1111111111111111,0.1111111111111111
1107,0.0,0.0,0.0
1108,0.3333333333333333,0.14285714285714285,0.14285714285714285
1109,0.0,0.0,0.0
111,0.09090909090909091,0.16666666666666666,1.0
1110,0.16666666666666666,0.3333333333333333,0.16666666666666666
1111,0.07692307692307693,0.0625,0.0625
1112,0.5,0.5,0.5
1113,0.5,0.2,0.2
1114,0.1,0.2,1.0
1115,0.25,0.25,0.25
