retriever,precision@1,precision@3,precision@5,precision@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr
granite_dense,0.46439628482972134,0.4066047471620227,0.3665634674922601,0.28513931888544897,0.057930664719524703,0.11527248988190009,0.14498988784261083,0.182539252945703,0.44427244582043346,0.4238782532155468,0.4101107194988545,0.37516447236263056,0.5581293921077203
granite_small_dense,0.4520123839009288,0.3859649122807018,0.3510835913312694,0.27616099071207434,0.053984502822237504,0.10572198220261607,0.13618073212357795,0.17725098837529552,0.43343653250773995,0.406023443903956,0.3928196939788352,0.361006147250476,0.5410143004570249
bm25,0.43034055727554177,0.3323013415892672,0.2743034055727554,0.21393188854489167,0.05363383239427335,0.0977818620809315,0.11620295861332691,0.1474090373805491,0.4148606811145511,0.3604729273238781,0.33023596983086956,0.3018712216113777,0.511483365275935
st_dense,0.4117647058823529,0.3333333333333333,0.29040247678018577,0.2386996904024768,0.04014525899432444,0.09013600840199565,0.11174974443205055,0.1533223072633758,0.39164086687306504,0.35201387560366787,0.33026667895220385,0.3087703270318413,0.5020234409553295
gte_dense,0.4674922600619195,0.38390092879256965,0.3411764705882353,0.27647058823529413,0.06670318154462253,0.11331464753638676,0.1403938293488984,0.18152151122902888,0.4504643962848297,0.40864633339418516,0.39265249304951,0.368063467818842,0.557436483365276
e5_dense,0.44891640866873067,0.3653250773993808,0.31455108359133127,0.2532507739938081,0.057013952348889174,0.10216789006289481,0.12550438397105235,0.16507876590643447,0.43188854489164086,0.3915164570356913,0.36577287586499424,0.34024819183767296,0.5368482480711583
bge_dense,0.4674922600619195,0.40660474716202266,0.3541795665634675,0.27275541795665637,0.06196254747157059,0.1160801342612353,0.14135178141457344,0.17760701218243316,0.4458204334365325,0.42488706109394986,0.4029112001950334,0.3661787918258656,0.5641235441545038
hybrid_granite_bm25,0.5108359133126935,0.39628482972136225,0.3287925696594427,0.25758513931888544,0.06412175437141154,0.11962218578034799,0.14063953438572738,0.17301220841557582,0.48606811145510836,0.4277527567149395,0.3924392163250321,0.3601290682814763,0.5902783920585778
hybrid_granite_small_bm25,0.48606811145510836,0.39009287925696595,0.32445820433436534,0.251702786377709,0.05872772230621916,0.11845259510473252,0.13758934997983485,0.17017422015958206,0.4674922600619195,0.41588738023730004,0.3837211145643994,0.3503652456477882,0.5736387537471129
granite_rerank,0.4520123839009288,0.38080495356037153,0.3275541795665635,0.26130030959752326,0.05776015061297331,0.11490234332513867,0.13635883671191323,0.1708792746882018,0.43498452012383904,0.40729427951007097,0.3812363925174945,0.3525324583607794,0.5452970661948991
granite_small_rerank,0.44891640866873067,0.37770897832817335,0.32507739938080493,0.2582043343653251,0.057477756953755246,0.11496034549083732,0.13723668078677717,0.172084078389428,0.43188854489164086,0.4040516058732788,0.37834370531145417,0.3499807735879804,0.542000835421888
hybrid_granite_bm25_rerank,0.4551083591331269,0.38390092879256965,0.330030959752322,0.2628482972136223,0.05785120870803796,0.11537033457495084,0.13743446654966485,0.17195764129191646,0.43653250773993807,0.41014172309525415,0.3839065397972632,0.35479595899608957,0.5483635559486952
