qid,granite_dense,q2d_granite,q2d_corroborate
0,1.0,1.0,1.0
1,1.0,1.0,1.0
10,1.0,1.0,1.0
100,1.0,1.0,1.0
1000,1.0,1.0,1.0
1001,1.0,1.0,1.0
1002,0.9473684210526315,1.0,1.0
1003,1.0,1.0,1.0
1004,1.0,0.0,0.0
1005,0.0,1.0,1.0
1006,1.0,1.0,1.0
1007,0.625,0.6060606060606061,0.0
1008,1.0,1.0,1.0
1009,0.7777777777777778,1.0,0.0
101,1.0,0.7368421052631579,0.6206896551724138
1010,1.0,1.0,1.0
1011,1.0,1.0,1.0
1012,1.0,1.0,1.0
1013,0.4,1.0,0.8
1014,1.0,1.0,1.0
1015,1.0,1.0,1.0
1016,1.0,1.0,1.0
1017,1.0,1.0,0.0
1018,1.0,1.0,1.0
1019,1.0,0.8888888888888888,1.0
102,1.0,1.0,0.7777777777777778
1020,1.0,1.0,1.0
1021,1.0,1.0,1.0
1022,0.896551724137931,1.0,1.0
1023,1.0,1.0,1.0
1024,1.0,1.0,1.0
1025,1.0,1.0,1.0
1026,1.0,1.0,1.0
1027,1.0,1.0,1.0
1028,0.9,1.0,1.0
1029,1.0,1.0,1.0
103,1.0,0.9583333333333334,1.0
1030,1.0,1.0,1.0
1031,1.0,1.0,1.0
1032,1.0,1.0,1.0
1033,0.49019607843137253,1.0,1.0
1034,1.0,1.0,0.6666666666666666
1035,1.0,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,0.3333333333333333
1038,1.0,1.0,1.0
1039,0.9090909090909091,1.0,0.23529411764705882
104,1.0,1.0,1.0
1040,0.0,1.0,1.0
1041,1.0,1.0,1.0
1042,0.0,0.75,0.75
1043,1.0,1.0,1.0
1044,1.0,1.0,0.5
1045,1.0,1.0,1.0
1046,1.0,1.0,1.0
1047,1.0,0.5,1.0
1048,1.0,1.0,1.0
1049,1.0,0.7971014492753623,0.0
105,1.0,1.0,1.0
1050,1.0,1.0,1.0
1051,1.0,1.0,1.0
1052,1.0,1.0,1.0
1053,1.0,1.0,1.0
1054,0.5,0.9090909090909091,0.9090909090909091
1055,1.0,0.2962962962962963,0.38235294117647056
1056,1.0,1.0,1.0
1057,1.0,0.7142857142857143,1.0
1058,1.0,1.0,1.0
1059,0.5,1.0,1.0
106,0.5,1.0,1.0
1060,1.0,1.0,1.0
1061,1.0,1.0,0.5384615384615384
1062,1.0,1.0,0.6410256410256411
1063,1.0,1.0,1.0
1064,1.0,1.0,1.0
1065,1.0,1.0,1.0
1066,0.8181818181818182,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,1.0
1069,1.0,1.0,1.0
107,1.0,1.0,1.0
1070,0.8,0.8,0.5
1071,1.0,1.0,1.0
1072,0.3333333333333333,0.88,1.0
1073,1.0,1.0,1.0
1074,1.0,1.0,1.0
1075,1.0,1.0,1.0
1076,1.0,1.0,1.0
1077,1.0,1.0,1.0
1078,1.0,1.0,1.0
1079,0.8181818181818182,0.5,0.5
108,1.0,0.4838709677419355,1.0
1080,1.0,1.0,1.0
1081,1.0,1.0,1.0
1082,1.0,1.0,1.0
1083,1.0,1.0,1.0
1084,1.0,1.0,1.0
1085,1.0,1.0,1.0
1086,1.0,0.0,0.0
1087,0.0,1.0,1.0
1088,0.7333333333333333,0.7333333333333333,0.0
1089,0.5,0.5,0.3333333333333333
109,1.0,1.0,1.0
1090,1.0,1.0,1.0
1091,1.0,1.0,1.0
1092,1.0,1.0,1.0
1093,1.0,1.0,1.0
1094,0.9032258064516129,1.0,0.9090909090909091
1095,0.43333333333333335,0.6521739130434783,0.4473684210526316
1096,1.0,1.0,0.14285714285714285
1097,1.0,1.0,1.0
1098,1.0,1.0,1.0
1099,1.0,1.0,1.0
11,0.9473684210526315,1.0,1.0
110,1.0,1.0,1.0
1100,0.875,0.9,0.6923076923076923
1101,1.0,1.0,1.0
1102,0.5,1.0,1.0
1103,1.0,1.0,1.0
1104,1.0,1.0,1.0
1105,1.0,1.0,1.0
1106,1.0,1.0,1.0
1107,1.0,1.0,1.0
1108,1.0,1.0,0.4625
1109,1.0,1.0,1.0
111,1.0,1.0,1.0
1110,1.0,1.0,1.0
1111,1.0,1.0,1.0
1112,0.5333333333333333,0.65625,0.6896551724137931
1113,0.0,0.0,0.0
1114,1.0,1.0,1.0
1115,1.0,1.0,1.0
1116,0.0,0.0,0.0
1117,1.0,1.0,1.0
1118,1.0,1.0,1.0
1119,0.8,1.0,1.0
112,1.0,1.0,1.0
1120,1.0,1.0,1.0
1121,1.0,0.9807692307692307,0.9807692307692307
1122,1.0,1.0,1.0
1123,1.0,1.0,1.0
1124,1.0,1.0,1.0
1125,1.0,1.0,1.0
1126,1.0,0.0,0.0
1127,1.0,1.0,1.0
1128,0.875,0.875,1.0
1129,1.0,1.0,1.0
113,1.0,1.0,1.0
1130,1.0,1.0,1.0
1131,0.3333333333333333,0.3333333333333333,0.0
1132,1.0,1.0,1.0
