qid,granite_dense,q2d_granite,q2d_corroborate
0,1.0,1.0,1.0
1,1.0,1.0,1.0
10,1.0,1.0,1.0
100,1.0,1.0,1.0
1000,1.0,1.0,1.0
1001,0.0,0.0,0.0
1002,0.0,0.0,0.0
1003,0.0,0.0,0.0
1004,1.0,1.0,1.0
1005,1.0,1.0,1.0
1006,1.0,1.0,1.0
1007,0.0,1.0,1.0
1008,1.0,1.0,1.0
1009,0.0,0.0,0.0
101,1.0,0.0,0.0
1010,1.0,1.0,1.0
1011,1.0,1.0,1.0
1012,1.0,1.0,1.0
1013,0.0,0.0,0.0
1014,1.0,1.0,1.0
1015,0.0,0.0,0.0
1016,1.0,1.0,1.0
1017,0.0,1.0,1.0
1018,1.0,0.0,0.0
1019,1.0,1.0,1.0
102,1.0,1.0,1.0
1020,1.0,1.0,1.0
1021,1.0,1.0,1.0
1022,1.0,1.0,1.0
1023,1.0,1.0,1.0
1024,1.0,1.0,1.0
1025,1.0,1.0,1.0
1026,0.0,0.0,0.0
1027,1.0,1.0,1.0
1028,0.0,0.0,0.0
1029,0.0,0.0,0.0
103,0.0,0.0,0.0
1030,1.0,1.0,1.0
1031,0.0,0.0,0.0
1032,0.0,0.0,0.0
1033,0.0,1.0,1.0
1034,0.0,1.0,1.0
1035,1.0,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,1.0
1038,1.0,0.0,0.0
1039,1.0,1.0,1.0
104,0.0,0.0,0.0
1040,0.0,1.0,1.0
1041,1.0,1.0,1.0
1042,0.0,0.0,0.0
1043,0.0,0.0,0.0
1044,0.0,0.0,0.0
1045,1.0,1.0,1.0
1046,1.0,1.0,1.0
1047,1.0,1.0,1.0
1048,1.0,1.0,1.0
1049,1.0,1.0,1.0
105,0.0,0.0,0.0
1050,0.0,0.0,0.0
1051,1.0,1.0,1.0
1052,0.0,0.0,0.0
1053,1.0,1.0,1.0
1054,1.0,1.0,1.0
1055,1.0,1.0,1.0
1056,0.0,1.0,1.0
1057,1.0,1.0,1.0
1058,0.0,0.0,0.0
1059,1.0,1.0,1.0
106,1.0,0.0,1.0
1060,1.0,1.0,1.0
1061,1.0,1.0,1.0
1062,0.0,0.0,0.0
1063,1.0,1.0,1.0
1064,0.0,0.0,0.0
1065,1.0,1.0,1.0
1066,1.0,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,1.0
1069,1.0,1.0,1.0
107,0.0,0.0,0.0
1070,1.0,1.0,1.0
1071,1.0,1.0,1.0
1072,1.0,1.0,0.0
1073,1.0,0.0,1.0
1074,1.0,1.0,1.0
1075,1.0,0.0,0.0
1076,1.0,1.0,1.0
1077,1.0,1.0,1.0
1078,0.0,0.0,1.0
1079,1.0,1.0,1.0
108,1.0,1.0,1.0
1080,1.0,1.0,1.0
1081,0.0,0.0,0.0
1082,1.0,1.0,1.0
1083,1.0,1.0,1.0
1084,1.0,1.0,1.0
1085,0.0,0.0,0.0
1086,1.0,1.0,1.0
1087,0.0,0.0,0.0
1088,0.0,0.0,1.0
1089,0.0,0.0,0.0
109,1.0,1.0,1.0
1090,0.0,0.0,0.0
1091,1.0,1.0,1.0
1092,1.0,1.0,1.0
1093,1.0,1.0,1.0
1094,1.0,1.0,1.0
1095,1.0,0.0,0.0
1096,1.0,1.0,1.0
1097,0.0,0.0,0.0
1098,1.0,1.0,1.0
1099,1.0,1.0,1.0
11,1.0,1.0,1.0
110,0.0,0.0,0.0
1100,0.0,0.0,0.0
1101,1.0,1.0,1.0
1102,1.0,1.0,1.0
1103,1.0,1.0,1.0
1104,1.0,1.0,1.0
1105,1.0,1.0,1.0
1106,1.0,1.0,1.0
1107,1.0,1.0,1.0
1108,1.0,1.0,1.0
1109,1.0,1.0,1.0
111,1.0,1.0,1.0
1110,1.0,1.0,1.0
1111,1.0,1.0,1.0
1112,0.0,0.0,0.0
1113,0.0,0.0,0.0
1114,1.0,1.0,1.0
1115,0.0,0.0,0.0
1116,0.0,0.0,0.0
1117,1.0,1.0,1.0
1118,1.0,0.0,0.0
1119,1.0,1.0,1.0
112,0.0,0.0,0.0
1120,1.0,1.0,1.0
1121,0.0,0.0,0.0
1122,1.0,1.0,1.0
1123,1.0,1.0,1.0
1124,0.0,1.0,1.0
1125,1.0,1.0,1.0
1126,0.0,0.0,0.0
1127,1.0,1.0,1.0
1128,1.0,1.0,1.0
1129,0.0,0.0,0.0
113,1.0,1.0,1.0
1130,1.0,1.0,1.0
1131,0.0,0.0,0.0
1132,1.0,1.0,1.0
1133,1.0,0.0,1.0
1134,1.0,1.0,1.0
1135,0.0,0.0,0.0
1136,1.0,1.0,1.0
1137,1.0,1.0,1.0
1138,0.0,1.0,1.0
1139,0.0,1.0,1.0
114,1.0,1.0,1.0
1140,1.0,1.0,1.0
1141,1.0,1.0,1.0
1142,1.0,1.0,1.0
1143,0.0,1.0,1.0
1144,1.0,1.0,1.0
1145,1.0,1.0,0.0
