qid,granite_dense,q2d_granite,q2d_corroborate
0,1.0,1.0,1.0
1,1.0,1.0,1.0
10,1.0,1.0,1.0
100,1.0,1.0,1.0
1000,0.5714285714285715,0.5714285714285715,0.5714285714285715
1001,0.0,0.0,0.0
1002,0.09756097560975609,0.16,0.13793103448275862
1003,0.5714285714285715,0.5714285714285715,0.5714285714285715
1004,1.0,1.0,1.0
1005,1.0,1.0,1.0
1006,0.5,0.5,0.5
1007,0.0,1.0,1.0
1008,0.5,1.0,1.0
1009,0.0,0.0,0.0
101,0.4,0.0,0.0
1010,0.6666666666666666,0.6666666666666666,0.6666666666666666
1011,1.0,1.0,1.0
1012,1.0,1.0,1.0
1013,0.05,0.04545454545454545,0.0606060606060606
1014,1.0,1.0,1.0
1015,0.0,0.0,0.0
1016,1.0,1.0,1.0
1017,0.0,0.16,1.0
1018,0.25,0.13333333333333336,0.13333333333333336
1019,0.13793103448275862,0.1904761904761905,0.21052631578947367
102,1.0,0.23529411764705882,1.0
1020,1.0,1.0,1.0
1021,1.0,1.0,1.0
1022,1.0,1.0,1.0
1023,1.0,1.0,1.0
1024,0.6666666666666666,0.6666666666666666,0.6666666666666666
1025,1.0,1.0,1.0
1026,0.0,0.0,0.0
1027,0.5,0.5,0.5
1028,0.13333333333333333,0.0,0.0
1029,0.0,0.0,0.0
103,0.0,0.0,0.0
1030,1.0,1.0,1.0
1031,0.6666666666666666,0.4,0.4
1032,0.0,0.0,0.0
1033,0.0,1.0,1.0
1034,0.0,1.0,1.0
1035,0.33333333333333337,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,1.0
1038,0.3636363636363636,0.0,0.0
1039,0.35294117647058826,0.4,0.4615384615384615
104,0.8,0.8,0.8
1040,0.0,1.0,1.0
1041,0.3076923076923077,0.3076923076923077,0.2857142857142857
1042,0.0,0.0,0.0
1043,0.0,0.0,0.0
1044,0.0,0.0,0.0
1045,0.028169014084507043,0.6666666666666666,0.04878048780487806
1046,1.0,1.0,1.0
1047,1.0,1.0,1.0
1048,1.0,1.0,1.0
1049,1.0,1.0,1.0
105,0.0,0.0,0.0
1050,0.0,0.0,0.0
1051,1.0,1.0,1.0
1052,0.5,0.5,0.5
1053,1.0,1.0,1.0
1054,0.18181818181818182,0.1111111111111111,0.1111111111111111
1055,1.0,1.0,1.0
1056,0.0,1.0,1.0
1057,0.5,0.5,0.5
1058,0.5,0.5,0.5
1059,1.0,1.0,1.0
106,0.2857142857142857,0.0,0.5714285714285715
1060,1.0,1.0,1.0
1061,1.0,1.0,1.0
1062,0.0,0.0,0.0
1063,0.13333333333333333,0.13333333333333333,1.0
1064,0.5,0.5,0.5
1065,1.0,1.0,1.0
1066,1.0,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,1.0
1069,1.0,1.0,1.0
107,0.0,0.0,0.0
1070,1.0,0.3076923076923077,0.5714285714285715
1071,1.0,1.0,1.0
1072,1.0,1.0,0.0
1073,1.0,0.0,1.0
1074,1.0,1.0,1.0
1075,1.0,0.6666666666666666,0.6666666666666666
1076,1.0,1.0,1.0
1077,1.0,1.0,1.0
1078,0.0,0.0,1.0
1079,0.04166666666666667,0.05405405405405406,0.05128205128205127
108,0.33333333333333337,0.5,0.2857142857142857
1080,1.0,1.0,1.0
1081,0.0,0.0,0.0
1082,1.0,1.0,1.0
1083,1.0,1.0,1.0
1084,1.0,1.0,1.0
1085,0.0,0.0,0.0
1086,1.0,1.0,1.0
1087,0.8,0.8,0.8
1088,0.0,0.0,1.0
1089,0.0,0.0,0.0
109,0.6666666666666666,0.6666666666666666,0.6666666666666666
1090,0.0,0.0,0.0
1091,1.0,1.0,1.0
1092,0.1904761904761905,0.33333333333333337,0.33333333333333337
1093,1.0,1.0,1.0
1094,0.13793103448275862,1.0,0.11764705882352941
1095,0.5714285714285715,0.28571428571428575,0.28571428571428575
1096,0.8,0.8,0.8
1097,0.8,0.8,0.8
1098,0.13333333333333333,0.12121212121212122,0.12121212121212122
1099,1.0,1.0,1.0
11,0.125,0.11764705882352941,0.11764705882352941
110,0.5714285714285715,0.3636363636363636,0.5714285714285715
1100,0.05128205128205129,0.05128205128205129,0.06666666666666667
1101,1.0,1.0,1.0
1102,0.6666666666666666,0.6666666666666666,0.6666666666666666
1103,1.0,1.0,1.0
1104,1.0,1.0,1.0
1105,0.21052631578947367,0.21052631578947367,0.3076923076923077
1106,1.0,1.0,1.0
1107,1.0,1.0,1.0
1108,1.0,1.0,1.0
1109,1.0,1.0,1.0
111,1.0,1.0,1.0
1110,1.0,1.0,1.0
1111,0.6666666666666666,0.6666666666666666,0.6666666666666666
1112,0.0,0.0,0.0
1113,0.0,0.0,0.0
1114,1.0,1.0,1.0
1115,0.8,0.8,0.8
1116,0.0,0.0,0.0
1117,0.6666666666666666,0.16,0.16
1118,0.5,0.0,0.0
1119,1.0,1.0,1.0
112,0.4,0.4,0.4
1120,1.0,1.0,1.0
