qid,granite_dense,q2d_granite,q2d_corroborate
0,0.3,0.3,0.4
1,0.3,0.5,0.5
10,0.4,0.4,0.4
100,0.3,0.3,0.3
1000,0.4,0.3,0.4
1001,0.0,0.1,0.1
1002,0.0,0.0,0.0
1003,0.1,0.1,0.1
1004,0.1,0.1,0.1
1005,0.2,0.2,0.2
1006,0.6,0.8,0.8
1007,0.0,0.1,0.1
1008,0.2,0.4,0.5
1009,0.0,0.0,0.0
101,0.5,0.5,0.4
1010,0.6,0.8,0.6
1011,0.3,0.4,0.4
1012,0.2,0.6,0.6
1013,0.1,0.1,0.1
1014,0.1,0.3,0.3
1015,0.2,0.2,0.3
1016,0.1,0.3,0.3
1017,0.1,0.2,0.2
1018,0.1,0.1,0.1
1019,0.2,0.2,0.2
102,0.2,0.2,0.2
1020,0.8,0.8,0.8
1021,0.2,0.2,0.2
1022,0.2,0.3,0.3
1023,0.4,0.6,0.7
1024,0.7,0.8,0.6
1025,0.6,0.9,0.7
1026,0.2,0.2,0.2
1027,0.4,0.4,0.4
1028,0.1,0.1,0.1
1029,0.2,0.2,0.2
103,0.1,0.2,0.1
1030,0.5,0.6,0.5
1031,0.1,0.1,0.1
1032,0.2,0.2,0.2
1033,0.1,0.4,0.4
1034,0.0,0.1,0.1
1035,0.1,0.2,0.2
1036,0.1,0.1,0.1
1037,0.1,0.1,0.1
1038,0.1,0.1,0.1
1039,0.1,0.1,0.1
104,0.0,0.0,0.1
1040,0.1,0.1,0.1
1041,0.4,0.4,0.4
1042,0.0,0.0,0.0
1043,0.2,0.1,0.2
1044,0.1,0.1,0.1
1045,0.1,0.1,0.1
1046,0.2,0.2,0.2
1047,0.1,0.2,0.3
1048,0.3,0.5,0.6
1049,0.3,0.4,0.2
105,0.1,0.1,0.1
1050,0.0,0.0,0.1
1051,0.2,0.2,0.2
1052,0.1,0.2,0.2
1053,0.1,0.2,0.2
1054,0.2,0.4,0.4
1055,0.3,0.3,0.4
1056,0.4,0.3,0.4
1057,0.1,0.1,0.1
1058,0.1,0.1,0.1
1059,0.1,0.2,0.2
106,0.5,0.8,1.0
1060,0.4,0.5,0.5
1061,0.2,0.2,0.2
1062,0.1,0.2,0.1
1063,0.4,0.5,0.6
1064,0.2,0.2,0.1
1065,0.9,1.0,1.0
1066,0.5,0.6,0.6
1067,0.1,0.1,0.1
1068,0.1,0.1,0.1
1069,0.6,0.7,0.9
107,0.2,0.2,0.3
1070,0.7,0.7,0.6
1071,0.4,0.7,0.6
1072,0.0,0.1,0.1
1073,0.6,0.6,0.7
1074,0.2,0.3,0.4
1075,0.1,0.0,0.0
1076,0.3,0.4,0.3
1077,0.3,0.5,0.5
1078,0.1,0.1,0.1
1079,0.6,0.6,0.5
108,0.2,0.2,0.3
1080,0.1,0.1,0.1
1081,0.0,0.1,0.1
1082,0.2,0.2,0.2
1083,0.4,0.5,0.5
1084,0.5,0.7,0.8
1085,0.1,0.0,0.0
1086,0.2,0.3,0.2
1087,0.0,0.2,0.2
1088,0.0,0.0,0.0
1089,0.0,0.0,0.0
109,0.1,0.1,0.1
1090,0.1,0.1,0.1
1091,0.8,0.9,0.9
1092,0.1,0.2,0.2
1093,0.6,0.6,0.9
1094,0.3,0.2,0.2
1095,0.1,0.1,0.1
