qid,granite_dense,q2d_granite,q2d_corroborate
0,1.0,1.0,1.0
1,1.0,1.0,1.0
10,1.0,1.0,1.0
100,1.0,1.0,1.0
1000,1.0,1.0,1.0
1001,1.0,1.0,1.0
1002,0.96,0.9444444444444444,0.95
1003,1.0,1.0,1.0
1004,1.0,1.0,1.0
1005,1.0,1.0,1.0
1006,1.0,1.0,1.0
1007,1.0,1.0,1.0
1008,1.0,1.0,1.0
1009,0.8888888888888888,0.0,0.6842105263157895
101,1.0,0.6,0.42857142857142855
1010,1.0,1.0,1.0
1011,1.0,1.0,1.0
1012,1.0,1.0,1.0
1013,0.9655172413793104,0.78125,0.9545454545454546
1014,1.0,1.0,1.0
1015,1.0,1.0,1.0
1016,1.0,1.0,1.0
1017,0.0,0.6666666666666666,1.0
1018,1.0,1.0,1.0
1019,0.8571428571428571,0.9375,0.9285714285714286
102,1.0,0.8181818181818182,1.0
1020,1.0,1.0,1.0
1021,1.0,1.0,1.0
1022,1.0,1.0,1.0
1023,1.0,1.0,1.0
1024,1.0,1.0,1.0
1025,1.0,1.0,1.0
1026,1.0,1.0,1.0
1027,1.0,1.0,1.0
1028,0.8888888888888888,1.0,1.0
1029,1.0,1.0,1.0
103,0.9583333333333334,1.0,0.9583333333333334
1030,1.0,1.0,1.0
1031,1.0,1.0,1.0
1032,1.0,1.0,1.0
1033,1.0,1.0,1.0
1034,1.0,1.0,1.0
1035,0.6666666666666666,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,1.0
1038,1.0,1.0,1.0
1039,0.9090909090909091,1.0,1.0
104,1.0,1.0,1.0
1040,0.3333333333333333,1.0,1.0
1041,1.0,1.0,1.0
1042,1.0,0.0,1.0
1043,1.0,1.0,1.0
1044,1.0,1.0,1.0
1045,0.9361702127659575,1.0,0.8787878787878788
1046,1.0,1.0,1.0
1047,1.0,1.0,1.0
1048,1.0,1.0,1.0
1049,1.0,1.0,1.0
105,1.0,1.0,1.0
1050,1.0,1.0,1.0
1051,1.0,1.0,1.0
1052,1.0,1.0,1.0
1053,1.0,1.0,1.0
1054,0.6666666666666666,0.9090909090909091,0.9090909090909091
1055,1.0,1.0,1.0
1056,1.0,1.0,1.0
1057,1.0,1.0,1.0
1058,1.0,1.0,1.0
1059,1.0,1.0,1.0
106,0.9090909090909091,0.9444444444444444,1.0
1060,1.0,1.0,1.0
1061,1.0,1.0,1.0
1062,1.0,1.0,1.0
1063,1.0,1.0,1.0
1064,1.0,1.0,1.0
1065,1.0,1.0,1.0
1066,1.0,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,1.0
1069,1.0,1.0,1.0
107,1.0,1.0,1.0
1070,1.0,1.0,1.0
1071,1.0,1.0,1.0
1072,1.0,1.0,1.0
1073,1.0,1.0,1.0
1074,1.0,1.0,1.0
1075,1.0,1.0,1.0
1076,1.0,1.0,1.0
1077,1.0,1.0,1.0
1078,1.0,1.0,1.0
1079,0.84375,0.9583333333333334,0.92
108,0.75,0.8,1.0
1080,1.0,1.0,1.0
1081,1.0,1.0,1.0
1082,1.0,1.0,1.0
1083,1.0,1.0,1.0
1084,1.0,1.0,1.0
1085,1.0,1.0,1.0
1086,1.0,1.0,1.0
1087,1.0,1.0,1.0
1088,0.8333333333333334,0.8333333333333334,1.0
1089,1.0,0.3333333333333333,0.3333333333333333
109,1.0,1.0,1.0
1090,1.0,1.0,1.0
1091,1.0,1.0,1.0
1092,0.8666666666666667,1.0,1.0
1093,1.0,1.0,1.0
1094,0.9166666666666666,1.0,0.8214285714285714
1095,1.0,1.0,1.0
1096,1.0,1.0,1.0
1097,1.0,1.0,1.0
1098,0.5714285714285714,0.5217391304347826,0.5217391304347826
1099,1.0,1.0,1.0
11,0.9642857142857143,0.9666666666666667,0.9666666666666667
110,1.0,1.0,1.0
1100,0.875,0.875,0.9
1101,1.0,1.0,1.0
1102,1.0,1.0,1.0
1103,1.0,1.0,1.0
1104,1.0,1.0,1.0
1105,1.0,1.0,1.0
1106,1.0,1.0,1.0
1107,1.0,1.0,1.0
1108,1.0,1.0,1.0
1109,1.0,1.0,1.0
111,1.0,1.0,1.0
1110,1.0,1.0,1.0
1111,1.0,1.0,1.0
1112,0.0,0.0,0.6
1113,0.3333333333333333,1.0,0.9230769230769231
1114,1.0,1.0,1.0
1115,1.0,1.0,1.0
1116,0.0,0.0,0.0
1117,1.0,0.8888888888888888,0.8888888888888888
1118,1.0,1.0,1.0
1119,1.0,1.0,1.0
112,1.0,1.0,1.0
1120,1.0,1.0,1.0
1121,0.918918918918919,1.0,1.0
1122,1.0,1.0,1.0
1123,1.0,1.0,1.0
1124,1.0,1.0,1.0
1125,1.0,1.0,1.0
1126,0.0,0.3333333333333333,0.3333333333333333
1127,1.0,1.0,1.0
1128,0.9411764705882353,1.0,1.0
1129,1.0,1.0,1.0
113,1.0,1.0,1.0
1130,1.0,1.0,1.0
