qid,granite_dense,gte_dense,bm25
0,0.5,0.5,0.25
1,0.75,0.5,0.25
10,0.75,0.5,0.5
100,0.5,0.5,0.25
1000,0.5,0.75,0.5
1001,0.0,0.0,0.0
1002,0.0,0.0,0.0
1003,0.0,0.25,0.0
1004,0.25,0.25,0.0
1005,0.5,0.5,0.0
1006,1.0,1.0,0.25
1007,0.0,0.0,0.75
1008,0.5,0.5,0.75
1009,0.0,0.0,0.0
101,0.5,0.5,0.25
1010,0.75,0.5,0.25
1011,0.75,0.5,0.5
1012,0.25,0.5,0.0
1013,0.0,0.0,0.0
1014,0.0,0.0,0.0
1015,0.25,0.25,0.0
1016,0.25,0.5,0.25
1017,0.0,0.25,0.25
1018,0.25,0.25,0.0
1019,0.25,0.0,0.0
102,0.5,0.5,0.5
1020,1.0,0.75,1.0
1021,0.25,0.5,0.5
1022,0.25,0.0,0.0
1023,0.5,0.25,0.5
1024,1.0,1.0,1.0
1025,0.5,1.0,0.75
1026,0.25,0.0,0.0
1027,1.0,0.75,0.25
1028,0.25,0.25,0.0
1029,0.5,0.5,0.5
103,0.0,0.25,0.0
1030,1.0,1.0,0.75
1031,0.0,0.0,0.0
1032,0.0,0.25,0.25
1033,0.0,0.0,0.0
1034,0.0,0.0,0.0
1035,0.25,0.25,0.0
1036,0.0,0.0,0.0
1037,0.25,0.25,0.0
1038,0.25,0.25,0.25
1039,0.25,0.25,0.0
104,0.0,0.0,0.0
1040,0.25,0.25,0.0
1041,0.25,0.25,0.25
1042,0.0,0.0,0.0
1043,0.25,0.25,0.0
1044,0.25,0.25,0.0
1045,0.25,0.0,0.0
1046,0.0,0.0,0.25
1047,0.25,0.25,0.0
1048,0.75,0.75,0.25
1049,0.5,0.5,0.25
105,0.25,0.25,0.0
1050,0.0,0.0,0.0
1051,0.5,0.5,0.5
1052,0.25,0.25,0.0
1053,0.25,0.25,0.5
1054,0.5,0.25,0.25
1055,0.25,0.0,0.5
1056,0.75,0.0,0.0
1057,0.25,0.25,0.0
1058,0.0,0.0,0.0
1059,0.0,0.25,0.25
106,0.75,0.75,0.75
1060,0.25,0.5,0.25
1061,0.25,0.5,0.5
1062,0.25,0.0,0.0
1063,1.0,0.75,0.75
1064,0.25,0.25,0.0
1065,1.0,0.75,1.0
1066,0.5,0.5,0.0
1067,0.25,0.25,0.25
1068,0.0,0.25,0.25
1069,1.0,1.0,0.5
107,0.5,0.25,0.25
1070,1.0,0.75,1.0
1071,0.5,0.25,0.5
1072,0.0,0.0,0.0
1073,0.75,0.0,0.25
1074,0.0,0.0,0.0
1075,0.0,0.0,0.0
1076,0.75,0.5,0.0
1077,0.5,0.75,0.25
1078,0.25,0.0,0.0
1079,0.75,0.5,0.25
108,0.25,0.25,0.75
1080,0.25,0.25,0.0
1081,0.0,0.25,0.0
1082,0.25,0.25,0.5
1083,1.0,1.0,0.5
1084,0.75,1.0,0.25
1085,0.0,0.0,0.0
1086,0.25,0.0,0.0
1087,0.0,0.25,0.0
1088,0.0,0.0,0.0
1089,0.0,0.0,0.0
109,0.25,0.25,0.0
1090,0.25,0.25,0.0
1091,1.0,1.0,1.0
1092,0.25,0.25,0.0
1093,1.0,0.75,0.5
1094,0.75,0.5,0.5
1095,0.25,0.25,0.25
1096,0.25,0.25,0.0
1097,0.5,0.5,0.0
1098,0.25,0.25,0.25
1099,0.5,0.75,0.25
11,0.75,0.75,0.25
110,0.25,0.0,0.0
1100,0.0,0.0,0.0
1101,0.5,0.5,0.0
1102,0.25,0.25,0.0
1103,0.25,0.25,0.0
1104,0.5,0.5,0.25
1105,0.25,0.75,0.5
1106,1.0,1.0,1.0
1107,0.5,0.5,0.25
1108,0.75,0.75,0.0
1109,1.0,1.0,1.0
