qid,granite_dense,q2d_granite
0,1.0,1.0
1,1.0,1.0
10,0.6666666666666666,0.6666666666666666
100,1.0,1.0
1000,0.5714285714285715,0.5714285714285715
1001,0.0,0.0
1002,0.13333333333333333,0.125
1003,0.25,0.28571428571428575
1004,1.0,0.0
1005,1.0,1.0
1006,0.5,0.5
1007,0.03773584905660378,0.044444444444444446
1008,0.5,1.0
1009,0.0,0.0
101,0.0,0.18181818181818182
1010,0.0,0.6666666666666666
1011,1.0,1.0
1012,1.0,1.0
1013,0.0,0.0
1014,0.0,1.0
1015,0.0,0.0
1016,1.0,1.0
1017,0.0,0.0
1018,0.4,0.4
1019,0.0,0.16666666666666669
102,1.0,1.0
1020,1.0,1.0
1021,1.0,1.0
1022,0.0,0.0
1023,1.0,1.0
1024,0.6666666666666666,0.6666666666666666
1025,1.0,1.0
1026,0.0,0.0
1027,0.5,0.5
1028,0.1739130434782609,0.0
1029,0.0,0.0
103,0.18181818181818182,0.18181818181818182
1030,1.0,1.0
1031,0.0,0.4
1032,0.0,0.0
1033,0.0,1.0
1034,0.0,1.0
1035,1.0,1.0
1036,0.0,0.0
1037,1.0,1.0
1038,0.3636363636363636,0.3636363636363636
1039,0.0,0.0
104,0.8,0.8
1040,0.0,0.0
1041,0.3076923076923077,0.3076923076923077
1042,0.0,0.0
1043,0.0,0.0
1044,0.22222222222222224,0.0
1045,0.6666666666666666,0.6666666666666666
1046,1.0,0.0
1047,1.0,0.0
1048,1.0,1.0
1049,1.0,0.014925373134328356
105,0.0,0.0
1050,0.0,0.0
1051,1.0,1.0
1052,0.5,0.5
1053,1.0,0.3333333333333333
1054,0.5,0.1111111111111111
1055,1.0,1.0
1056,1.0,1.0
1057,0.1,0.0
1058,0.5,0.5
1059,1.0,1.0
106,0.0,1.0
1060,0.33333333333333337,0.33333333333333337
1061,1.0,1.0
1062,0.0,1.0
1063,0.13333333333333333,0.13333333333333333
1064,0.5,0.5
1065,1.0,1.0
1066,0.35294117647058826,1.0
1067,1.0,1.0
1068,0.5,1.0
1069,1.0,1.0
107,0.0,0.0
1070,0.5714285714285715,0.5714285714285715
1071,1.0,0.0
1072,0.0,0.0625
1073,0.0,0.0
1074,0.8,1.0
1075,0.0,0.0
1076,1.0,1.0
1077,1.0,1.0
1078,0.0,0.0
1079,0.0,0.02857142857142857
108,0.4,0.19999999999999998
1080,1.0,1.0
1081,0.0,0.0
1082,1.0,1.0
1083,1.0,1.0
1084,1.0,1.0
1085,0.0,0.0
1086,1.0,0.0
1087,0.8,0.8
1088,1.0,1.0
1089,0.0,0.0
109,0.6666666666666666,0.6666666666666666
1090,0.0,0.0
1091,1.0,1.0
1092,0.0,1.0
1093,1.0,1.0
1094,0.13793103448275862,0.09523809523809523
1095,0.5714285714285715,0.5714285714285715
1096,0.8,0.8
1097,0.8,0.8
1098,0.33333333333333337,1.0
1099,1.0,1.0
11,0.16666666666666669,0.16666666666666669
110,0.5,0.5714285714285715
1100,0.0,0.06666666666666667
1101,1.0,1.0
1102,0.6666666666666666,0.6666666666666666
1103,1.0,1.0
1104,1.0,0.3333333333333333
1105,0.3076923076923077,0.3076923076923077
1106,1.0,1.0
1107,1.0,1.0
1108,1.0,1.0
1109,1.0,1.0
111,1.0,1.0
1110,1.0,1.0
1111,1.0,1.0
1112,0.0,0.0
1113,0.0,1.0
1114,1.0,1.0
1115,0.8,0.8
1116,0.0,0.0
1117,0.2222222222222222,0.6666666666666666
1118,0.5,1.0
1119,1.0,1.0
112,0.4,0.4
1120,1.0,1.0
1121,0.0,0.0
1122,0.6666666666666666,0.6666666666666666
1123,1.0,0.0
1124,0.3333333333333333,1.0
1125,1.0,1.0
1126,0.0,0.0
1127,1.0,1.0
1128,0.16666666666666669,0.16666666666666669
1129,0.3333333333333333,0.3333333333333333
113,0.5,0.5
1130,1.0,1.0
1131,0.0,0.0
1132,1.0,1.0
1133,0.0,0.0
1134,0.15384615384615385,0.046511627906976744
1135,0.0,0.0
1136,1.0,1.0
1137,1.0,1.0
1138,1.0,1.0
1139,0.0,0.5714285714285715
114,1.0,1.0
1140,1.0,1.0
1141,0.15384615384615385,0.05555555555555556
1142,1.0,1.0
1143,0.25,0.2222222222222222
1144,0.15384615384615385,0.4444444444444445
1145,0.013245033112582783,0.013513513513513513
1146,0.0,0.0
1147,0.13636363636363635,0.13636363636363635
1148,1.0,1.0
1149,1.0,1.0
115,1.0,0.2857142857142857
1150,0.4,0.4
1151,0.0,0.0
1152,1.0,1.0
1153,0.5714285714285715,0.5714285714285715
