qid,granite_dense,q2d_granite
0,0.5,0.75
1,0.75,1.0
10,0.5,0.25
100,0.5,0.25
1000,0.5,0.5
1001,0.0,0.25
1002,0.0,0.0
1003,0.0,0.0
1004,0.25,0.25
1005,0.25,0.25
1006,0.75,0.75
1007,0.0,0.0
1008,0.5,0.75
1009,0.0,0.0
101,0.5,0.5
1010,0.5,0.75
1011,0.75,0.5
1012,0.25,0.5
1013,0.0,0.0
1014,0.0,0.25
1015,0.25,0.0
1016,0.25,0.25
1017,0.0,0.0
1018,0.25,0.25
1019,0.25,0.5
102,0.5,0.5
1020,1.0,0.75
1021,0.25,0.5
1022,0.25,0.25
1023,0.5,0.75
1024,1.0,1.0
1025,0.5,0.75
1026,0.25,0.0
1027,1.0,1.0
1028,0.25,0.25
1029,0.5,0.5
103,0.0,0.0
1030,0.75,1.0
1031,0.0,0.25
1032,0.0,0.25
1033,0.0,0.5
1034,0.0,0.25
1035,0.25,0.5
1036,0.0,0.0
1037,0.25,0.25
1038,0.25,0.25
1039,0.0,0.0
104,0.0,0.0
1040,0.25,0.25
1041,0.25,0.5
1042,0.0,0.0
1043,0.25,0.25
1044,0.25,0.25
1045,0.25,0.25
1046,0.0,0.0
1047,0.25,0.0
1048,0.75,1.0
1049,0.5,0.5
105,0.25,0.25
1050,0.0,0.0
1051,0.5,0.5
1052,0.25,0.5
1053,0.25,0.25
1054,0.5,0.5
1055,0.25,0.25
1056,0.75,0.25
1057,0.25,0.25
1058,0.0,0.25
1059,0.0,0.25
106,0.75,1.0
1060,0.25,0.5
1061,0.25,0.25
1062,0.25,0.25
1063,1.0,1.0
1064,0.25,0.0
1065,1.0,1.0
1066,0.5,0.75
1067,0.25,0.25
1068,0.0,0.25
1069,1.0,1.0
107,0.5,0.25
1070,1.0,1.0
1071,0.5,0.75
1072,0.0,0.25
1073,0.75,0.75
1074,0.0,0.5
1075,0.0,0.0
1076,0.75,1.0
1077,0.5,0.5
1078,0.25,0.0
1079,0.75,0.75
108,0.25,0.5
1080,0.25,0.25
