qid,granite_dense,q2d_granite
0,1.0,1.0
1,1.0,1.0
10,1.0,1.0
100,1.0,1.0
1000,1.0,1.0
1001,1.0,1.0
1002,0.875,1.0
1003,1.0,1.0
1004,1.0,0.0
1005,1.0,1.0
1006,1.0,1.0
1007,0.625,0.6060606060606061
1008,1.0,1.0
1009,0.0,0.5925925925925926
101,1.0,0.7368421052631579
1010,1.0,1.0
1011,1.0,1.0
1012,1.0,1.0
1013,0.4,0.8260869565217391
1014,1.0,1.0
1015,1.0,1.0
1016,1.0,1.0
1017,1.0,1.0
1018,1.0,1.0
1019,1.0,0.7777777777777778
102,1.0,1.0
1020,1.0,1.0
1021,1.0,1.0
1022,0.85,1.0
1023,1.0,1.0
1024,1.0,1.0
1025,1.0,1.0
1026,1.0,1.0
1027,1.0,1.0
1028,0.9166666666666666,1.0
1029,1.0,1.0
103,1.0,1.0
1030,1.0,1.0
1031,1.0,1.0
1032,1.0,1.0
1033,1.0,1.0
1034,1.0,1.0
1035,1.0,1.0
1036,1.0,0.8333333333333334
1037,1.0,1.0
1038,1.0,1.0
1039,0.8571428571428571,1.0
104,1.0,1.0
1040,0.0,0.0
1041,1.0,1.0
1042,0.0,0.75
1043,1.0,1.0
1044,1.0,1.0
1045,1.0,1.0
1046,1.0,1.0
1047,1.0,0.0
1048,1.0,1.0
1049,1.0,0.8611111111111112
105,1.0,1.0
1050,0.5373134328358209,1.0
1051,1.0,1.0
1052,1.0,1.0
1053,1.0,1.0
1054,0.5,0.9090909090909091
1055,1.0,1.0
1056,1.0,1.0
1057,0.6470588235294118,1.0
1058,1.0,1.0
1059,0.5,1.0
106,0.5,1.0
1060,1.0,1.0
1061,1.0,1.0
1062,1.0,1.0
1063,1.0,1.0
1064,1.0,1.0
1065,1.0,1.0
1066,0.8181818181818182,1.0
1067,1.0,1.0
1068,1.0,1.0
1069,1.0,1.0
107,1.0,1.0
1070,0.8,0.8
1071,1.0,1.0
1072,0.3333333333333333,0.85
1073,0.0,1.0
1074,0.6666666666666666,1.0
1075,0.0,0.3333333333333333
1076,1.0,1.0
1077,1.0,1.0
1078,1.0,0.0
1079,0.8181818181818182,0.5
108,1.0,0.29411764705882354
1080,1.0,1.0
1081,1.0,1.0
1082,1.0,1.0
1083,1.0,1.0
1084,1.0,1.0
1085,1.0,0.0
1086,1.0,0.0
1087,1.0,1.0
1088,0.0,1.0
1089,0.5,0.5
109,1.0,1.0
1090,1.0,1.0
1091,1.0,1.0
1092,1.0,1.0
1093,1.0,1.0
1094,0.9565217391304348,0.8285714285714286
1095,1.0,1.0
1096,1.0,1.0
1097,1.0,1.0
1098,0.8888888888888888,1.0
1099,1.0,1.0
11,0.9473684210526315,1.0
110,1.0,1.0
1100,0.5384615384615384,0.45
1101,1.0,1.0
1102,1.0,1.0
1103,1.0,1.0
1104,1.0,1.0
1105,1.0,1.0
1106,1.0,1.0
1107,1.0,1.0
1108,1.0,1.0
1109,1.0,1.0
111,1.0,1.0
1110,1.0,1.0
1111,1.0,1.0
1112,0.5,0.7608695652173914
1113,0.0,1.0
1114,1.0,1.0
1115,1.0,1.0
1116,0.0,0.0
1117,1.0,1.0
1118,1.0,1.0
1119,1.0,1.0
112,1.0,1.0
1120,1.0,1.0
1121,1.0,0.9807692307692307
1122,1.0,1.0
1123,1.0,1.0
1124,1.0,1.0
1125,1.0,1.0
1126,0.0,0.0
1127,1.0,1.0
1128,0.875,0.875
1129,1.0,1.0
113,1.0,1.0
1130,1.0,1.0
1131,0.3333333333333333,0.3333333333333333
1132,1.0,1.0
1133,1.0,1.0
1134,0.9,0.7333333333333333
1135,1.0,1.0
1136,1.0,1.0
1137,1.0,1.0
1138,1.0,1.0
1139,1.0,1.0
114,0.5,1.0
1140,1.0,1.0
1141,0.6666666666666666,0.9047619047619048
1142,1.0,1.0
1143,0.7142857142857143,0.8666666666666667
1144,0.5555555555555556,1.0
1145,0.5,0.5102040816326531
1146,1.0,1.0
1147,1.0,1.0
1148,1.0,1.0
1149,1.0,1.0
115,1.0,1.0
1150,1.0,1.0
1151,1.0,1.0
1152,1.0,1.0
1153,1.0,1.0
1154,0.5625,1.0
1155,1.0,1.0
1156,0.5,1.0
1157,1.0,1.0
1158,1.0,1.0
1159,1.0,1.0
116,1.0,1.0
1160,0.9166666666666666,0.9166666666666666
1161,1.0,1.0
1162,1.0,1.0
1163,1.0,1.0
1164,1.0,1.0
1165,1.0,0.875
1166,1.0,1.0
1167,1.0,1.0
1168,1.0,1.0
1169,1.0,1.0
117,1.0,1.0
