qid,granite_dense,bm25,splade,convex_hybrid_granite_bm25,convex_hybrid_granite_splade
1,0.3562071871080222,0.0,0.0,0.3333333333333333,0.3562071871080222
100,0.0,0.0,0.0,0.0,0.0
1012,0.5012658353418871,0.0,0.0,0.45560514958746035,0.430624116386567
1014,0.6309297535714575,0.0,0.2890648263178879,0.3562071871080222,0.5
1019,1.0,1.0,1.0,1.0,1.0
1020,1.0,0.5,0.43067655807339306,1.0,1.0
1021,0.5,0.31546487678572877,0.43067655807339306,0.6309297535714575,0.5
1024,1.0,0.6131471927654584,0.8772153153380493,0.8772153153380493,0.9197207891481876
1029,1.0,0.6309297535714575,1.0,1.0,1.0
1041,1.0,1.0,0.6309297535714575,1.0,1.0
1049,1.0,1.0,0.6309297535714575,1.0,1.0
1062,1.0,0.38685280723454163,0.0,1.0,1.0
1086,0.43067655807339306,1.0,1.0,0.6309297535714575,0.6309297535714575
1088,0.5,1.0,0.5,0.5,0.5
1089,0.0,0.0,0.6309297535714575,0.3333333333333333,0.43067655807339306
1099,0.6309297535714575,1.0,1.0,1.0,1.0
1100,1.0,0.5,1.0,1.0,1.0
1104,1.0,1.0,1.0,1.0,1.0
1107,1.0,1.0,0.20438239758848611,1.0,0.8772153153380493
1110,1.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1.0
1121,0.6309297535714575,0.5,0.5,0.6309297535714575,0.6309297535714575
113,1.0,0.6309297535714575,1.0,1.0,1.0
1130,0.0,0.0,0.0,0.31546487678572877,0.0
1132,0.0,0.0,0.0,0.0,0.0
1137,1.0,0.5,0.38685280723454163,1.0,1.0
1140,1.0,0.3562071871080222,1.0,1.0,1.0
1144,1.0,1.0,1.0,1.0,1.0
1146,1.0,1.0,1.0,1.0,1.0
115,1.0,0.6309297535714575,1.0,1.0,1.0
1150,0.6309297535714575,0.6309297535714575,0.43067655807339306,0.5,0.5
1163,0.9197207891481876,0.6052602440527057,0.9197207891481876,0.9197207891481876,0.9197207891481876
1175,1.0,0.6309297535714575,1.0,1.0,1.0
1179,1.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,1.0
1180,1.0,1.0,1.0,1.0,1.0
1185,1.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
1187,1.0,0.5,0.6309297535714575,1.0,1.0
1191,0.5,0.3333333333333333,0.38685280723454163,0.5,0.5
1194,1.0,1.0,1.0,1.0,1.0
1196,0.2890648263178879,0.0,0.0,0.2890648263178879,0.3333333333333333
1197,1.0,1.0,1.0,1.0,1.0
1199,0.0,0.0,0.3562071871080222,0.0,0.2890648263178879
1200,1.0,0.6309297535714575,0.6309297535714575,1.0,1.0
1202,0.3010299956639812,0.0,0.38685280723454163,0.0,0.3333333333333333
1204,1.0,0.0,0.3333333333333333,1.0,1.0
1207,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
1213,0.38685280723454163,1.0,1.0,0.6309297535714575,0.5
1216,1.0,0.0,1.0,0.43067655807339306,1.0
1221,1.0,1.0,1.0,1.0,1.0
1225,1.0,1.0,1.0,1.0,1.0
1226,1.0,1.0,1.0,1.0,1.0
1232,1.0,1.0,1.0,1.0,1.0
124,0.5249810332008933,0.2640681225725909,0.2640681225725909,0.5802792108518124,0.48247555939075504
1241,0.5,0.0,0.0,0.6309297535714575,0.5
1245,0.5,0.0,0.0,0.6309297535714575,0.6309297535714575
1259,1.0,1.0,1.0,1.0,1.0
1262,0.5,0.2890648263178879,0.0,0.5,0.5
1266,0.5,0.0,0.0,0.38685280723454163,0.38685280723454163
127,1.0,1.0,1.0,1.0,1.0
1270,1.0,1.0,1.0,1.0,1.0
1271,0.0,0.0,0.0,0.3333333333333333,0.0
1272,1.0,1.0,1.0,1.0,1.0
1273,1.0,0.43067655807339306,1.0,1.0,1.0
1274,1.0,1.0,1.0,1.0,1.0
1278,1.0,1.0,1.0,1.0,1.0
1279,0.6309297535714575,1.0,0.6309297535714575,1.0,1.0
128,1.0,0.0,0.6309297535714575,1.0,1.0
1280,1.0,0.6309297535714575,0.43067655807339306,0.6309297535714575,0.6309297535714575
1281,0.31546487678572877,0.0,0.0,0.0,0.0
1282,0.6608397947263839,0.0,0.5922216874835863,0.5058175983477707,0.7618017901203944
129,1.0,1.0,1.0,1.0,1.0
1290,1.0,1.0,1.0,1.0,1.0
1292,1.0,1.0,1.0,1.0,1.0
1298,1.0,1.0,1.0,1.0,1.0
13,1.0,0.6309297535714575,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,1.0
1303,0.0,0.0,0.0,0.0,0.0
1316,1.0,1.0,1.0,1.0,1.0
1319,1.0,1.0,1.0,1.0,1.0
132,1.0,1.0,1.0,1.0,1.0
1320,1.0,1.0,1.0,1.0,1.0
133,1.0,1.0,1.0,1.0,1.0
1332,1.0,1.0,1.0,1.0,1.0
1335,0.0,0.0,0.0,0.0,0.0
1336,0.2890648263178879,0.0,0.0,0.0,0.0
1337,1.0,0.6309297535714575,1.0,1.0,1.0
1339,1.0,1.0,1.0,1.0,1.0
1344,1.0,1.0,1.0,1.0,1.0
1352,1.0,1.0,0.5,1.0,1.0
1359,0.3562071871080222,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.3562071871080222
1362,1.0,0.6309297535714575,1.0,1.0,1.0
1363,1.0,1.0,1.0,1.0,1.0
1368,1.0,0.9197207891481876,1.0,1.0,1.0
137,1.0,1.0,1.0,1.0,1.0
