alpha,ndcg@10
0.0,0.35586864635700105
0.05,0.36425319194765965
0.1,0.3763772404940556
0.15,0.38865235661814884
0.2,0.40042799813265406
0.25,0.40946901309143763
0.3,0.41857712380467355
0.35,0.4311352728525942
0.4,0.4400008065607717
0.45,0.4480728199433626
0.5,0.454251240205506
0.55,0.46055738387722645
0.6,0.4645561888570151
0.65,0.46656742976471804
0.7,0.46885780225867607
0.75,0.46905860327892485
0.8,0.46787356005994524
0.85,0.46803164435843375
0.9,0.4673772740464785
0.95,0.4623346161732179
1.0,0.45858053097909435
