alpha,ndcg@10
0.0,0.6898831416596142
0.05,0.6973696787994093
0.1,0.7067929665997764
0.15,0.713302322548548
0.2,0.719848697788696
0.25,0.7281912128529613
0.3,0.7377025513362673
0.35,0.742643499477013
0.4,0.7514038156577697
0.45,0.7588429045664185
0.5,0.7646989343820442
0.55,0.7668693146001055
0.6,0.7682376828443317
0.65,0.772197109518153
0.7,0.7710281684229786
0.75,0.770042290346923
0.8,0.7702549190470611
0.85,0.7685848682033505
0.9,0.7658983617407615
0.95,0.7664173250126954
1.0,0.7665175315928656
